"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"64613","1902","1902","1902","","","","0","0","0"
"64797","1904","1904","1904","","","","10","10","10"
"64893","1886","1886","1886","10","10","10","","",""
"64955","1906","1906","1906","","","","10","10","10"
"64962","1887","1887","1887","10","10","10","","",""
"65030","1907","1907","1907","","","","10","10","10"
"65136","1910","1910","1910","","","","0","0","0"
"65190","1911","1911","1911","","","","10","10","10"
"65387","1914","1914","1914","","","","0","0","0"
"65462","1915","1915","1915","","","","0","0","0"
"65592","1935","1935","1935","","","","0","0","0"
"65724","1917","1917","1917","10","10","10","","",""
"65812","1918","1918","1918","0","0","0","","",""
"66014","1939","1939","1939","","","","10","10","10"
"66094","1923","1923","1923","0","0","0","","",""
"66101","1940","1940","1940","","","","10","10","10"
"66220","1942","1942","1942","","","","10","10","10"
"66306","1943","1943","1943","","","","10","10","10"
"66426","1944","1944","1944","","","","0","0","0"
"66644","1947","1947","1947","10","10","10","","",""
"66812","1966","1966","1966","","","","10","10","10"
"67430","1953","1953","1953","0","0","0","","",""
"67482","1954","1954","1954","0","0","0","","",""
"67484","1977","1977","1977","","","","10","10","10"
"67598","1978","1978","1978","0","0","0","","",""
"67689","1994","1994","1994","","","","0","0","0"
"67759","1995","1995","1995","","","","0","0","0"
"67929","1997","1997","1997","","","","10","10","10"
"68017","1998","1998","1998","","","","0","0","0"
"68025","1982","1982","1982","0","0","0","","",""
"68158","1983","1983","1983","0","0","0","","",""
"68178","2000","2000","2000","","","","10","10","10"
"68267","2002","2002","2002","","","","0","0","0"
"68292","1986","1986","1986","10","10","10","","",""
"68364","1987","1987","1987","10","10","10","","",""
"68412","2005","2005","2005","","","","0","0","0"
"68462","2006","2006","2006","","","","10","10","10"
"68679","2008","2008","2008","0","0","0","","",""
"68718","2009","2009","2009","0","0","0","","",""
"69028","2030","2030","2030","","","","0","0","0"
